variant,alpha,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1
corridor+box,-0.6,2,0.8685968819599109,0.8552338530066814,0.8024498886414253,0.72271714922049,0.8625835189309576,0.8394209354120268,0.8420935412026725,0.779510022271715,0.6993318485523385
corridor+box,-0.6,3,0.799554565701559,0.7968819599109132,0.7585746102449888,0.687750556792873,0.8037861915367482,0.8002227171492204,0.8035634743875277,0.779510022271715,0.7282850779510023
corridor+box,-0.6,4,0.8173719376391982,0.8033407572383073,0.7612472160356348,0.6657015590200445,0.8158129175946547,0.8097995545657015,0.7868596881959912,0.779510022271715,0.734966592427617
corridor+box,-0.3,0,0.7216035634743875,0.7189309576837417,0.6750556792873053,0.610467706013363,0.7265033407572383,0.7262806236080179,0.7227171492204899,0.688195991091314,0.6391982182628062
corridor+box,-0.3,1,0.7572383073496659,0.7456570155902005,0.7091314031180401,0.6287305122494431,0.7587973273942094,0.7601336302895323,0.7505567928730512,0.7238307349665924,0.6904231625835189
corridor+box,-0.3,2,0.7906458797327395,0.7830734966592429,0.7523385300668151,0.6922048997772828,0.789977728285078,0.778619153674833,0.7788418708240534,0.7371937639198218,0.6302895322939867
corridor+box,-0.3,3,0.8040089086859689,0.7948775055679287,0.7465478841870824,0.6763919821826281,0.8180400890868598,0.8151447661469934,0.8082405345211582,0.6948775055679287,0.623608017817372
corridor+box,-0.3,4,0.821826280623608,0.8089086859688196,0.7665924276169265,0.676837416481069,0.820489977728285,0.8095768374164811,0.7888641425389755,0.77728285077951,0.7126948775055679
corridor+box,0.0,0,0.7305122494432071,0.7138084632516704,0.6726057906458798,0.6069042316258351,0.7249443207126948,0.722271714922049,0.7133630289532293,0.6815144766146993,0.6458797327394209
corridor+box,0.0,1,0.7416481069042317,0.7356347438752785,0.7097995545657015,0.6367483296213808,0.7443207126948777,0.7456570155902005,0.7440979955456571,0.7282850779510023,0.7037861915367484
corridor+box,0.0,2,0.7728285077951003,0.7755011135857461,0.7425389755011136,0.6728285077951002,0.7815144766146994,0.811804008908686,0.7826280623608018,0.7282850779510023,0.6302895322939867
corridor+box,0.0,3,0.799554565701559,0.7913140311804009,0.7527839643652561,0.6708240534521158,0.7979955456570156,0.7973273942093542,0.7881959910913141,0.7728285077951003,0.7238307349665924
corridor+box,0.0,4,0.7527839643652561,0.7427616926503341,0.7093541202672606,0.6271714922048999,0.7530066815144766,0.7534521158129175,0.7394209354120267,0.7149220489977728,0.6592427616926503
corridor+box,0.3,0,0.7305122494432071,0.7244988864142539,0.6906458797327394,0.6198218262806237,0.7298440979955456,0.7276169265033408,0.7178173719376393,0.7060133630289532,0.6815144766146993
corridor+box,0.3,1,0.7461024498886414,0.7398663697104677,0.7048997772828507,0.6276169265033407,0.7452115812917596,0.743207126948775,0.7267260579064587,0.7260579064587973,0.7060133630289532
corridor+box,0.3,2,0.7951002227171492,0.7906458797327395,0.7532293986636971,0.6792873051224946,0.7964365256124722,0.7988864142538976,0.7977728285077951,0.7572383073496659,0.6993318485523385
corridor+box,0.3,3,0.7906458797327395,0.7737193763919821,0.7387527839643653,0.6648106904231625,0.7861915367483296,0.7826280623608018,0.7801781737193764,0.7527839643652561,0.7216035634743875
corridor+box,0.3,4,0.7639198218262806,0.7521158129175947,0.7202672605790645,0.6342984409799555,0.7639198218262806,0.7641425389755012,0.743207126948775,0.7238307349665924,0.6926503340757239
corridor+box,0.6,0,0.8307349665924276,0.8233853006681514,0.7861915367483296,0.7066815144766148,0.8285077951002228,0.8320712694877506,0.8133630289532293,0.799554565701559,0.7639198218262806
