variant,alpha,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1
corridor,0.3,0,0.9688195991091314,0.948552338530067,0.8414253897550111,0.6930957683741649,0.9714922048997774,0.970824053452116,0.9632516703786191,0.9510022271714922,0.8775055679287305
corridor,0.3,1,0.9710467706013363,0.9465478841870827,0.8487750556792871,0.6979955456570156,0.96815144766147,0.9643652561247217,0.9534521158129176,0.9398663697104677,0.8953229398663697
corridor,0.3,2,0.9576837416481069,0.932739420935412,0.8354120267260579,0.699554565701559,0.9552338530066816,0.9505567928730512,0.946770601336303,0.9287305122494433,0.8819599109131403
corridor,0.3,3,0.9510022271714922,0.9244988864142538,0.811358574610245,0.6587973273942094,0.9485523385300668,0.9570155902004457,0.9440979955456571,0.9064587973273942,0.7906458797327395
corridor,0.3,4,0.9665924276169265,0.9342984409799554,0.8138084632516703,0.6498886414253897,0.96815144766147,0.9605790645879735,0.9530066815144765,0.9398663697104677,0.8819599109131403
corridor,0.6,0,0.977728285077951,0.956347438752784,0.8752783964365257,0.7412026726057906,0.9768374164810691,0.9739420935412028,0.9616926503340759,0.933184855233853,0.8262806236080178
corridor,0.6,1,0.977728285077951,0.9632516703786193,0.8888641425389755,0.7645879732739421,0.978173719376392,0.9741648106904233,0.9672605790645881,0.9487750556792873,0.8329621380846325
corridor,0.6,2,0.9732739420935412,0.9579064587973274,0.876837416481069,0.753674832962138,0.9726057906458798,0.9694877505567929,0.9616926503340757,0.9376391982182628,0.8552338530066815
corridor,0.6,3,0.9732739420935412,0.9556792873051225,0.8714922048997774,0.7280623608017818,0.9732739420935413,0.970378619153675,0.9688195991091314,0.9398663697104677,0.7861915367483296
corridor,0.6,4,0.9732739420935412,0.9523385300668152,0.8619153674832962,0.7064587973273941,0.9728285077951003,0.9694877505567929,0.9634743875278395,0.9354120267260579,0.8262806236080178
corridor,0.9,0,0.9821826280623608,0.9641425389755012,0.9106904231625835,0.799554565701559,0.97728285077951,0.9737193763919822,0.9621380846325168,0.89086859688196,0.48106904231625836
corridor,0.9,1,0.9732739420935412,0.9630289532293987,0.91826280623608,0.8140311804008908,0.971269487750557,0.9719376391982184,0.9643652561247217,0.8930957683741648,0.42761692650334077
corridor,0.9,2,0.9710467706013363,0.9623608017817373,0.8968819599109132,0.7817371937639198,0.9710467706013365,0.9706013363028955,0.9596881959910913,0.8775055679287305,0.47438752783964366
corridor,0.9,3,0.9821826280623608,0.9621380846325168,0.8908685968819599,0.7703786191536748,0.9808463251670378,0.9763919821826281,0.9699331848552338,0.8775055679287305,0.41202672605790647
corridor,0.9,4,0.9844097995545658,0.9732739420935413,0.9089086859688196,0.7888641425389755,0.9844097995545658,0.9844097995545658,0.9766146993318486,0.8775055679287305,0.37639198218262804
corridor+box,-0.9,0,0.6592427616926503,0.6414253897550111,0.5944320712694877,0.5316258351893095,0.6616926503340756,0.6527839643652561,0.6514476614699332,0.6146993318485523,0.49443207126948774
corridor+box,-0.9,1,0.6347438752783965,0.6256124721603563,0.5897550111358575,0.534521158129176,0.6374164810690424,0.6369710467706013,0.632739420935412,0.6057906458797327,0.532293986636971
corridor+box,-0.9,2,0.7706013363028953,0.757238307349666,0.6982182628062361,0.6358574610244989,0.7708240534521158,0.7766146993318486,0.7487750556792874,0.7171492204899778,0.6191536748329621
corridor+box,-0.9,3,0.6391982182628062,0.6204899777282851,0.579064587973274,0.5233853006681516,0.6385300668151448,0.6338530066815146,0.6151447661469933,0.5879732739420935,0.534521158129176
corridor+box,-0.9,4,0.6280623608017817,0.624053452115813,0.5870824053452115,0.5298440979955457,0.6318485523385301,0.6271714922048999,0.6265033407572382,0.6035634743875279,0.5456570155902004
corridor+box,-0.6,0,0.6325167037861915,0.6169265033407573,0.5859688195991091,0.5260579064587974,0.6325167037861916,0.6229398663697104,0.6184855233853007,0.5634743875278396,0.48997772828507796
corridor+box,-0.6,1,0.732739420935412,0.7191536748329622,0.6717149220489977,0.6073496659242761,0.7338530066815145,0.7311804008908687,0.722271714922049,0.7082405345211581,0.6659242761692651
corridor+box,-0.6,2,0.7884187082405345,0.7706013363028954,0.7209354120267261,0.6559020044543431,0.779510022271715,0.7879732739420936,0.7619153674832962,0.734966592427617,0.6636971046770601
corridor+box,-0.6,3,0.6325167037861915,0.6278396436525611,0.5966592427616926,0.5376391982182629,0.6338530066815146,0.6345211581291761,0.619599109131403,0.6035634743875279,0.532293986636971
corridor+box,-0.6,4,0.6369710467706013,0.6396436525612472,0.6097995545657016,0.5525612472160356,0.6394209354120267,0.64543429844098,0.6456570155902005,0.6146993318485523,0.579064587973274
corridor+box,-0.3,0,0.6302895322939867,0.6276169265033407,0.6006681514476615,0.5354120267260578,0.6320712694877507,0.6345211581291761,0.6338530066815145,0.6102449888641426,0.5612472160356348
corridor+box,-0.3,1,0.7216035634743875,0.7053452115812917,0.657683741648107,0.5939866369710468,0.7180400890868596,0.7175946547884186,0.7146993318485523,0.688195991091314,0.6592427616926503
corridor+box,-0.3,2,0.7928730512249443,0.7783964365256125,0.7356347438752783,0.6641425389755012,0.7848552338530068,0.789977728285078,0.7741648106904232,0.7416481069042317,0.6792873051224945
corridor+box,-0.3,3,0.6592427616926503,0.6498886414253897,0.6120267260579064,0.5594654788418708,0.6610244988864142,0.6583518930957682,0.6605790645879732,0.6258351893095768,0.579064587973274
corridor+box,-0.3,4,0.6636971046770601,0.6599109131403117,0.624053452115813,0.5599109131403119,0.6634743875278396,0.6634743875278396,0.666815144766147,0.6414253897550112,0.621380846325167
corridor+box,0.0,0,0.7305122494432071,0.7138084632516704,0.6726057906458798,0.6069042316258351,0.7249443207126948,0.722271714922049,0.7133630289532293,0.6815144766146993,0.6458797327394209
corridor+box,0.0,1,0.7416481069042317,0.7356347438752785,0.7097995545657015,0.6367483296213808,0.7443207126948777,0.7456570155902005,0.7440979955456571,0.7282850779510023,0.7037861915367484
corridor+box,0.0,2,0.7728285077951003,0.7755011135857461,0.7425389755011136,0.6728285077951002,0.7815144766146994,0.811804008908686,0.7826280623608018,0.7282850779510023,0.6302895322939867
corridor+box,0.0,3,0.799554565701559,0.7913140311804009,0.7527839643652561,0.6708240534521158,0.7979955456570156,0.7973273942093542,0.7881959910913141,0.7728285077951003,0.7238307349665924
corridor+box,0.0,4,0.7527839643652561,0.7427616926503341,0.7093541202672606,0.6271714922048999,0.7530066815144766,0.7534521158129175,0.7394209354120267,0.7149220489977728,0.6592427616926503
corridor+box,0.3,0,0.8574610244988864,0.8505567928730512,0.8146993318485523,0.7425389755011136,0.853674832962138,0.8469933184855234,0.8412026726057906,0.8285077951002228,0.779510022271715
corridor+box,0.3,1,0.7706013363028953,0.7728285077951004,0.7434298440979956,0.6732739420935412,0.7750556792873052,0.7717149220489978,0.7741648106904232,0.7505567928730512,0.732739420935412
corridor+box,0.3,2,0.8663697104677061,0.8621380846325166,0.8267260579064587,0.7383073496659243,0.8641425389755011,0.8621380846325168,0.8605790645879733,0.8285077951002228,0.7750556792873051
corridor+box,0.3,3,0.8151447661469933,0.8051224944320712,0.7737193763919822,0.7011135857461024,0.8171492204899776,0.8144766146993317,0.8195991091314031,0.7906458797327395,0.7282850779510023
corridor+box,0.3,4,0.9198218262806236,0.8968819599109132,0.8425389755011136,0.7376391982182627,0.9155902004454342,0.9129175946547884,0.9042316258351892,0.8797327394209354,0.8396436525612472
corridor+box,0.6,0,0.9086859688195991,0.9037861915367482,0.8636971046770603,0.7806236080178174,0.9135857461024498,0.9069042316258352,0.9,0.8752783964365256,0.7928730512249443
