config,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1,q6,q4,q3,q2,p0.5,p0.8,p0.9
interval inc,2,0.9599109131403119,0.9416481069042314,0.8363028953229398,0.6977728285077951,0.960356347438753,0.955902004454343,0.9514476614699332,0.9376391982182628,0.8752783964365256,0.9599109131403119,0.9576837416481069,0.8953229398663697,0.09799554565701558,0.9532293986636972,0.8953229398663697,0.6391982182628062
interval dec,2,0.9465478841870824,0.9133630289532293,0.7955456570155903,0.644543429844098,0.9474387527839646,0.943652561247216,0.9398663697104676,0.9131403118040089,0.8485523385300668,0.9487750556792873,0.9443207126948775,0.8574610244988864,0.37639198218262804,0.9465478841870824,0.8997772828507795,0.7683741648106904
weight-noise const,2,0.9710467706013363,0.9579064587973274,0.8850779510022271,0.7672605790645879,0.9719376391982184,0.9661469933184856,0.9398663697104676,0.0,0.0,0.9755011135857461,0.9599109131403119,0.8574610244988864,0.17817371937639198,0.9621380846325167,0.32516703786191536,0.1492204899777283
weight-noise inc,2,0.9688195991091314,0.9561247216035635,0.8910913140311806,0.7719376391982182,0.9721603563474389,0.9605790645879733,0.9347438752783963,0.0,0.0,0.9732739420935412,0.955456570155902,0.8641425389755011,0.16258351893095768,0.9599109131403119,0.4610244988864143,0.26948775055679286
interval+box const,2,0.7728285077951003,0.7755011135857461,0.7425389755011136,0.6728285077951002,0.7815144766146994,0.811804008908686,0.7826280623608018,0.7282850779510023,0.6302895322939867,0.779510022271715,0.7884187082405345,0.8240534521158129,0.15812917594654788,0.7861915367483296,0.7750556792873051,0.7861915367483296
interval+box inc,2,0.8485523385300668,0.8405345211581292,0.8062360801781736,0.7345211581291758,0.8465478841870825,0.8449888641425389,0.8389755011135858,0.8129175946547884,0.7394209354120267,0.8530066815144766,0.8396436525612472,0.7616926503340757,0.14699331848552338,0.8418708240534521,0.8463251670378619,0.8374164810690423
interval+box dec,2,0.8685968819599109,0.8552338530066814,0.8024498886414253,0.72271714922049,0.8625835189309576,0.8394209354120268,0.8420935412026725,0.779510022271715,0.6993318485523385,0.8641425389755011,0.8663697104677061,0.779510022271715,0.3273942093541203,0.8641425389755011,0.8040089086859689,0.7661469933184856
backprop,3,0.9710467706013363,0.9476614699331847,0.8795100222717149,0.7534521158129176,0.969487750556793,0.9552338530066816,0.8984409799554566,0.0,0.0,0.9710467706013363,0.9599109131403119,0.5701559020044543,0.0935412026726058,0.8418708240534521,0.46325167037861914,0.1091314031180401
backprop+noise,3,0.9732739420935412,0.9750556792873052,0.9532293986636973,0.890423162583519,0.9759465478841871,0.9739420935412028,0.9483296213808463,0.0,0.0,0.9755011135857461,0.9755011135857461,0.9242761692650334,0.18262806236080179,0.9688195991091314,0.5946547884187082,0.24944320712694878
interval const,3,0.8552338530066815,0.8403118040089087,0.7405345211581291,0.6064587973273943,0.8559020044543428,0.8570155902004455,0.8561247216035636,0.8374164810690423,0.7884187082405345,0.8596881959910914,0.8418708240534521,0.8040089086859689,0.33184855233853006,0.8574610244988864,0.8285077951002228,0.7060133630289532
interval inc,3,0.9287305122494433,0.9017817371937639,0.8037861915367482,0.65456570155902,0.9256124721603562,0.9231625835189309,0.9220489977728284,0.8930957683741648,0.8084632516703786,0.9242761692650334,0.9153674832962138,0.8819599109131403,0.0779510022271715,0.9131403118040089,0.7683741648106904,0.3741648106904232
interval dec,3,0.9287305122494433,0.9095768374164811,0.7875278396436526,0.6260579064587973,0.929175946547884,0.9347438752783963,0.9342984409799554,0.9086859688195991,0.844097995545657,0.9265033407572383,0.9175946547884187,0.8997772828507795,0.41202672605790647,0.9265033407572383,0.9042316258351893,0.8084632516703786
weight-noise const,3,0.9443207126948775,0.9175946547884186,0.8394209354120268,0.7249443207126949,0.942316258351893,0.9253897550111357,0.8962138084632516,0.0,0.0,0.9487750556792873,0.9020044543429844,0.8619153674832962,0.0935412026726058,0.8507795100222717,0.5211581291759465,0.19599109131403117
weight-noise inc,3,0.9732739420935412,0.9538975501113585,0.8830734966592427,0.7523385300668152,0.9752783964365257,0.9645879732739422,0.9380846325167038,0.0,0.0,0.9732739420935412,0.9643652561247216,0.8663697104677061,0.14253897550111358,0.9220489977728286,0.4766146993318486,0.16258351893095768
interval+box const,3,0.799554565701559,0.7913140311804009,0.7527839643652561,0.6708240534521158,0.7979955456570156,0.7973273942093542,0.7881959910913141,0.7728285077951003,0.7238307349665924,0.7951002227171492,0.8040089086859689,0.7861915367483296,0.1870824053452116,0.7973273942093542,0.7951002227171492,0.77728285077951
interval+box inc,3,0.8129175946547884,0.8031180400890868,0.7721603563474387,0.6908685968819599,0.8097995545657015,0.8097995545657015,0.8046770601336304,0.7928730512249443,0.7438752783964365,0.8195991091314031,0.8129175946547884,0.77728285077951,0.21603563474387527,0.8151447661469933,0.8084632516703786,0.7839643652561247
interval+box dec,3,0.799554565701559,0.7968819599109132,0.7585746102449888,0.687750556792873,0.8037861915367482,0.8002227171492204,0.8035634743875277,0.779510022271715,0.7282850779510023,0.8017817371937639,0.8062360801781737,0.7884187082405345,0.21603563474387527,0.8040089086859689,0.799554565701559,0.7906458797327395
backprop,4,0.9821826280623608,0.9590200445434298,0.8971046770601336,0.764142538975501,0.9799554565701559,0.9679287305122495,0.9307349665924276,0.0,0.0,0.9799554565701559,0.9665924276169265,0.8663697104677061,0.15367483296213807,0.9465478841870824,0.47216035634743875,0.2650334075723831
backprop+noise,4,0.9821826280623608,0.9748329621380847,0.9512249443207128,0.9048997772828509,0.9804008908685968,0.9708240534521158,0.9485523385300667,0.0,0.0,0.9821826280623608,0.9821826280623608,0.8775055679287305,0.155902004454343,0.9665924276169265,0.512249443207127,0.20044543429844097
interval const,4,0.9376391982182628,0.8959910913140312,0.7614699331848552,0.6040089086859688,0.9383073496659241,0.9311804008908686,0.9273942093541201,0.9198218262806236,0.8663697104677061,0.9398663697104677,0.9265033407572383,0.8953229398663697,0.18262806236080179,0.9354120267260579,0.9287305122494433,0.7438752783964365
