config,family,rho_train,seed,clean,cert0.01,cert0.02,cert0.05,cert0.1,cert0.15,cert0.2,cert0.3
interval const 0.3,interval const,0.3,0,0.5478841870824054,0.5389755011135857,0.534521158129176,0.5256124721603563,0.42761692650334077,0.40089086859688194,0.36080178173719374,0.26948775055679286
interval inc 0.3,interval inc,0.3,0,0.5567928730512249,0.5567928730512249,0.5501113585746102,0.5434298440979956,0.5300668151447662,0.5167037861915368,0.47216035634743875,0.30066815144766146
backprop,backprop,,1,0.9665924276169265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,1,0.9710467706013363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,1,0.9710467706013363,0.9688195991091314,0.910913140311804,0.3674832962138085,0.0,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,1,0.9755011135857461,0.9487750556792873,0.8752783964365256,0.0757238307349666,0.0,0.0,0.0,0.0
interval const 0.05,interval const,0.05,1,0.977728285077951,0.9732739420935412,0.9688195991091314,0.8997772828507795,0.32293986636971045,0.0,0.0,0.0
interval inc 0.05,interval inc,0.05,1,0.977728285077951,0.9710467706013363,0.9643652561247216,0.8596881959910914,0.10467706013363029,0.0,0.0,0.0
interval const 0.1,interval const,0.1,1,0.9821826280623608,0.977728285077951,0.9621380846325167,0.9443207126948775,0.8552338530066815,0.4053452115812918,0.0,0.0
interval inc 0.1,interval inc,0.1,1,0.9799554565701559,0.9665924276169265,0.9621380846325167,0.9465478841870824,0.7973273942093542,0.2962138084632517,0.0,0.0
interval const 0.15,interval const,0.15,1,0.933184855233853,0.9309576837416481,0.9287305122494433,0.9064587973273942,0.8641425389755011,0.7572383073496659,0.27839643652561247,0.004454342984409799
interval inc 0.15,interval inc,0.15,1,0.9643652561247216,0.9643652561247216,0.9465478841870824,0.9220489977728286,0.8530066815144766,0.688195991091314,0.24053452115812918,0.0
interval const 0.2,interval const,0.2,1,0.7928730512249443,0.7884187082405345,0.7861915367483296,0.7728285077951003,0.7438752783964365,0.7060133630289532,0.623608017817372,0.11804008908685969
interval inc 0.2,interval inc,0.2,1,0.8262806236080178,0.8262806236080178,0.821826280623608,0.8106904231625836,0.779510022271715,0.6993318485523385,0.5590200445434298,0.013363028953229399
interval const 0.3,interval const,0.3,1,0.5233853006681515,0.5233853006681515,0.5167037861915368,0.5077951002227171,0.48552338530066813,0.44988864142538976,0.39420935412026725,0.1291759465478842
interval inc 0.3,interval inc,0.3,1,0.33184855233853006,0.32962138084632514,0.32516703786191536,0.1403118040089087,0.13140311804008908,0.12472160356347439,0.12026726057906459,0.10690423162583519
backprop,backprop,,2,0.9665924276169265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,2,0.9710467706013363,0.20935412026726058,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,2,0.9755011135857461,0.9643652561247216,0.9064587973273942,0.29398663697104677,0.0,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,2,0.977728285077951,0.9621380846325167,0.8641425389755011,0.10244988864142539,0.0,0.0,0.0,0.0
interval const 0.05,interval const,0.05,2,0.9821826280623608,0.9755011135857461,0.9688195991091314,0.8997772828507795,0.34743875278396436,0.0,0.0,0.0
interval inc 0.05,interval inc,0.05,2,0.9732739420935412,0.9688195991091314,0.955456570155902,0.8351893095768375,0.08685968819599109,0.0,0.0,0.0
interval const 0.1,interval const,0.1,2,0.9665924276169265,0.9599109131403119,0.9576837416481069,0.9443207126948775,0.8463251670378619,0.35634743875278396,0.017817371937639197,0.0
interval inc 0.1,interval inc,0.1,2,0.9643652561247216,0.9599109131403119,0.9532293986636972,0.933184855233853,0.8017817371937639,0.2561247216035635,0.0,0.0
interval const 0.15,interval const,0.15,2,0.9398663697104677,0.933184855233853,0.9287305122494433,0.9086859688195991,0.8619153674832962,0.7683741648106904,0.23608017817371937,0.0
interval inc 0.15,interval inc,0.15,2,0.9599109131403119,0.9576837416481069,0.9487750556792873,0.9376391982182628,0.8752783964365256,0.6971046770601337,0.2650334075723831,0.0
interval const 0.2,interval const,0.2,2,0.9020044543429844,0.8997772828507795,0.8975501113585747,0.8752783964365256,0.8129175946547884,0.734966592427617,0.579064587973274,0.022271714922048998
interval inc 0.2,interval inc,0.2,2,0.8418708240534521,0.8285077951002228,0.8195991091314031,0.8129175946547884,0.77728285077951,0.6770601336302895,0.4610244988864143,0.008908685968819599
interval const 0.3,interval const,0.3,2,0.6414253897550112,0.576837416481069,0.5679287305122495,0.5478841870824054,0.47438752783964366,0.4365256124721604,0.34521158129175944,0.12694877505567928
interval inc 0.3,interval inc,0.3,2,0.2806236080178174,0.2806236080178174,0.2806236080178174,0.2806236080178174,0.27839643652561247,0.267260579064588,0.25389755011135856,0.18930957683741648
backprop,backprop,,3,0.9710467706013363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,3,0.9443207126948775,0.10690423162583519,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,3,0.9844097995545658,0.9643652561247216,0.9242761692650334,0.311804008908686,0.0,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,3,0.9799554565701559,0.9576837416481069,0.8841870824053452,0.07126948775055679,0.0,0.0,0.0,0.0
interval const 0.05,interval const,0.05,3,0.9866369710467706,0.9799554565701559,0.9688195991091314,0.8797327394209354,0.22048997772828507,0.0,0.0,0.0
interval inc 0.05,interval inc,0.05,3,0.9866369710467706,0.9844097995545658,0.9732739420935412,0.8463251670378619,0.04899777282850779,0.0,0.0,0.0
interval const 0.1,interval const,0.1,3,0.9665924276169265,0.9643652561247216,0.9599109131403119,0.9265033407572383,0.8129175946547884,0.27616926503340755,0.0,0.0
interval inc 0.1,interval inc,0.1,3,0.9710467706013363,0.9710467706013363,0.9710467706013363,0.9420935412026726,0.7438752783964365,0.23162583518930957,0.0,0.0
interval const 0.15,interval const,0.15,3,0.8552338530066815,0.8507795100222717,0.8485523385300668,0.8374164810690423,0.7884187082405345,0.6592427616926503,0.31403118040089084,0.0
interval inc 0.15,interval inc,0.15,3,0.9287305122494433,0.9198218262806236,0.9198218262806236,0.8930957683741648,0.8084632516703786,0.5924276169265034,0.20935412026726058,0.0
interval const 0.2,interval const,0.2,3,0.7973273942093542,0.7951002227171492,0.7884187082405345,0.7728285077951003,0.6993318485523385,0.6481069042316259,0.5456570155902004,0.0779510022271715
interval inc 0.2,interval inc,0.2,3,0.8396436525612472,0.8351893095768375,0.8307349665924276,0.8106904231625836,0.7416481069042317,0.6302895322939867,0.45657015590200445,0.0066815144766146995
interval const 0.3,interval const,0.3,3,0.5211581291759465,0.5144766146993318,0.512249443207127,0.5077951002227171,0.49888641425389757,0.48775055679287305,0.45434298440979953,0.30066815144766146
interval inc 0.3,interval inc,0.3,3,0.4610244988864143,0.4610244988864143,0.4610244988864143,0.45657015590200445,0.44320712694877507,0.42761692650334077,0.40311804008908686,0.2182628062360802
backprop,backprop,,4,0.9821826280623608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,4,0.9844097995545658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,4,0.9866369710467706,0.9710467706013363,0.9309576837416481,0.32962138084632514,0.0,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,4,0.9844097995545658,0.9643652561247216,0.8997772828507795,0.10467706013363029,0.0,0.0,0.0,0.0
interval const 0.05,interval const,0.05,4,0.9844097995545658,0.9821826280623608,0.977728285077951,0.9175946547884187,0.1915367483296214,0.0022271714922048997,0.0,0.0
interval inc 0.05,interval inc,0.05,4,0.9844097995545658,0.977728285077951,0.9665924276169265,0.8708240534521158,0.07349665924276169,0.0,0.0,0.0
interval const 0.1,interval const,0.1,4,0.9821826280623608,0.977728285077951,0.9732739420935412,0.9532293986636972,0.8596881959910914,0.26280623608017817,0.011135857461024499,0.0
interval inc 0.1,interval inc,0.1,4,0.9821826280623608,0.977728285077951,0.9688195991091314,0.9354120267260579,0.7817371937639198,0.25389755011135856,0.0,0.0
interval const 0.15,interval const,0.15,4,0.9376391982182628,0.9309576837416481,0.9287305122494433,0.9198218262806236,0.8663697104677061,0.7483296213808464,0.22494432071269488,0.0022271714922048997
interval inc 0.15,interval inc,0.15,4,0.9576837416481069,0.9510022271714922,0.9465478841870824,0.9354120267260579,0.8752783964365256,0.6614699331848553,0.1870824053452116,0.0
interval const 0.2,interval const,0.2,4,0.8797327394209354,0.8752783964365256,0.8730512249443207,0.8574610244988864,0.8307349665924276,0.7572383073496659,0.6124721603563474,0.026726057906458798
interval inc 0.2,interval inc,0.2,4,0.8574610244988864,0.8485523385300668,0.8463251670378619,0.8329621380846325,0.7861915367483296,0.6993318485523385,0.44320712694877507,0.004454342984409799
interval const 0.3,interval const,0.3,4,0.4610244988864143,0.4610244988864143,0.45879732739420936,0.44988864142538976,0.44097995545657015,0.4142538975501114,0.36525612472160357,0.22271714922049
interval inc 0.3,interval inc,0.3,4,0.4766146993318486,0.47438752783964366,0.47438752783964366,0.47438752783964366,0.46547884187082406,0.44320712694877507,0.4053452115812918,0.1759465478841871
backprop,backprop,,5,0.9821826280623608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,5,0.977728285077951,0.008908685968819599,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,5,0.9866369710467706,0.9599109131403119,0.9220489977728286,0.47438752783964366,0.0,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,5,0.9844097995545658,0.9599109131403119,0.8997772828507795,0.16926503340757237,0.0,0.0,0.0,0.0
interval const 0.05,interval const,0.05,5,0.9866369710467706,0.9844097995545658,0.9710467706013363,0.8953229398663697,0.3429844097995546,0.0,0.0,0.0
interval inc 0.05,interval inc,0.05,5,0.9866369710467706,0.977728285077951,0.9621380846325167,0.8418708240534521,0.10467706013363029,0.0,0.0,0.0
interval const 0.1,interval const,0.1,5,0.977728285077951,0.9732739420935412,0.9643652561247216,0.9465478841870824,0.8151447661469933,0.34521158129175944,0.0066815144766146995,0.0
interval inc 0.1,interval inc,0.1,5,0.977728285077951,0.9732739420935412,0.9621380846325167,0.9376391982182628,0.7884187082405345,0.30066815144766146,0.0,0.0
interval const 0.15,interval const,0.15,5,0.9487750556792873,0.9420935412026726,0.9376391982182628,0.9287305122494433,0.8708240534521158,0.7616926503340757,0.29175946547884185,0.0
interval inc 0.15,interval inc,0.15,5,0.9732739420935412,0.9665924276169265,0.9665924276169265,0.9420935412026726,0.8775055679287305,0.6726057906458798,0.2739420935412027,0.0
interval const 0.2,interval const,0.2,5,0.9153674832962138,0.9086859688195991,0.9020044543429844,0.8797327394209354,0.844097995545657,0.7683741648106904,0.5946547884187082,0.028953229398663696
interval inc 0.2,interval inc,0.2,5,0.9220489977728286,0.9131403118040089,0.910913140311804,0.89086859688196,0.8374164810690423,0.7594654788418709,0.5367483296213809,0.0066815144766146995
interval const 0.3,interval const,0.3,5,0.5590200445434298,0.5545657015590201,0.5501113585746102,0.5434298440979956,0.532293986636971,0.5189309576837416,0.48775055679287305,0.3986636971046771
interval inc 0.3,interval inc,0.3,5,0.36971046770601335,0.3674832962138085,0.3674832962138085,0.35634743875278396,0.34743875278396436,0.33407572383073497,0.31403118040089084,0.14253897550111358
backprop,backprop,,6,0.9866369710467706,0.0022271714922048997,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,6,0.9888641425389755,0.026726057906458798,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,6,0.9844097995545658,0.9665924276169265,0.9265033407572383,0.3986636971046771,0.0,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,6,0.9933184855233853,0.9599109131403119,0.8975501113585747,0.1291759465478842,0.0,0.0,0.0,0.0
interval const 0.05,interval const,0.05,6,0.9844097995545658,0.9732739420935412,0.9665924276169265,0.8953229398663697,0.22494432071269488,0.0022271714922048997,0.0,0.0
interval inc 0.05,interval inc,0.05,6,0.9821826280623608,0.9755011135857461,0.9732739420935412,0.8663697104677061,0.08240534521158129,0.0,0.0,0.0
interval const 0.1,interval const,0.1,6,0.9688195991091314,0.9621380846325167,0.9576837416481069,0.9443207126948775,0.8463251670378619,0.29175946547884185,0.015590200445434299,0.0
interval inc 0.1,interval inc,0.1,6,0.9732739420935412,0.9732739420935412,0.9710467706013363,0.9510022271714922,0.8307349665924276,0.35634743875278396,0.004454342984409799,0.0
interval const 0.15,interval const,0.15,6,0.9420935412026726,0.9376391982182628,0.9376391982182628,0.9064587973273942,0.8374164810690423,0.6926503340757239,0.1358574610244989,0.0
interval inc 0.15,interval inc,0.15,6,0.9376391982182628,0.933184855233853,0.933184855233853,0.9131403118040089,0.8418708240534521,0.6770601336302895,0.29398663697104677,0.0
interval const 0.2,interval const,0.2,6,0.7839643652561247,0.77728285077951,0.7728285077951003,0.7572383073496659,0.7416481069042317,0.6792873051224945,0.5812917594654788,0.0200445434298441
interval inc 0.2,interval inc,0.2,6,0.7461024498886414,0.7438752783964365,0.7394209354120267,0.7193763919821826,0.7037861915367484,0.6280623608017817,0.46547884187082406,0.0378619153674833
interval const 0.3,interval const,0.3,6,0.5434298440979956,0.5389755011135857,0.5367483296213809,0.5256124721603563,0.49665924276169265,0.45657015590200445,0.39420935412026725,0.22271714922049
interval inc 0.3,interval inc,0.3,6,0.06904231625835189,0.06904231625835189,0.06904231625835189,0.06904231625835189,0.06904231625835189,0.06904231625835189,0.06904231625835189,0.062360801781737196
backprop,backprop,,7,0.9755011135857461,0.0022271714922048997,0.0,0.0,0.0,0.0,0.0,0.0
weight-noise 0.15,weight-noise 0.15,0.15,7,0.9755011135857461,0.013363028953229399,0.0,0.0,0.0,0.0,0.0,0.0
interval const 0.02,interval const,0.02,7,0.977728285077951,0.9599109131403119,0.910913140311804,0.3207126948775056,0.0,0.0,0.0,0.0
interval inc 0.02,interval inc,0.02,7,0.9710467706013363,0.9599109131403119,0.8596881959910914,0.1603563474387528,0.0,0.0,0.0,0.0
interval const 0.05,interval const,0.05,7,0.9844097995545658,0.977728285077951,0.9665924276169265,0.8819599109131403,0.23162583518930957,0.0,0.0,0.0
interval inc 0.05,interval inc,0.05,7,0.9821826280623608,0.9732739420935412,0.9621380846325167,0.8040089086859689,0.0779510022271715,0.0,0.0,0.0
interval const 0.1,interval const,0.1,7,0.9755011135857461,0.9710467706013363,0.9688195991091314,0.9465478841870824,0.8374164810690423,0.3585746102449889,0.0,0.0
interval inc 0.1,interval inc,0.1,7,0.9844097995545658,0.9799554565701559,0.9755011135857461,0.9398663697104677,0.7616926503340757,0.1915367483296214,0.0,0.0
