config,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1,q6,q4,q3,q2,p0.5,p0.8,p0.9
backprop+L1 0.003,5,0.9621380846325167,0.943652561247216,0.8946547884187082,0.8064587973273942,0.958574610244989,0.9238307349665924,0.7930957683741648,0.0,0.0,0.9643652561247216,0.9487750556792873,0.7104677060133631,0.25389755011135856,0.9621380846325167,0.9443207126948775,0.8262806236080178
weight-noise const,5,0.977728285077951,0.9639198218262808,0.9089086859688196,0.7977728285077951,0.9775055679287306,0.9726057906458798,0.9507795100222716,0.0,0.0,0.977728285077951,0.9710467706013363,0.9042316258351893,0.15812917594654788,0.9354120267260579,0.5367483296213809,0.26057906458797325
interval const,5,0.9487750556792873,0.910467706013363,0.8093541202672606,0.6596881959910913,0.9478841870824054,0.9472160356347438,0.9449888641425389,0.9287305122494433,0.8708240534521158,0.9420935412026726,0.9398663697104677,0.8864142538975501,0.29175946547884185,0.9443207126948775,0.8819599109131403,0.8151447661469933
backprop,6,0.9866369710467706,0.9612472160356349,0.8832962138084632,0.7425389755011136,0.9792873051224944,0.9639198218262808,0.9244988864142538,0.0,0.0,0.9866369710467706,0.9688195991091314,0.7371937639198218,0.18040089086859687,0.9576837416481069,0.5946547884187082,0.12026726057906459
backprop+L1 0.0001,6,0.9755011135857461,0.9661469933184856,0.9204899777282851,0.8198218262806236,0.9710467706013365,0.9625835189309578,0.9293986636971046,0.0,0.0,0.9755011135857461,0.9710467706013363,0.9175946547884187,0.23608017817371937,0.9799554565701559,0.8641425389755011,0.36525612472160357
backprop+L1 0.0003,6,0.9866369710467706,0.9706013363028954,0.9236080178173719,0.8265033407572384,0.981291759465479,0.9605790645879733,0.9211581291759465,0.0,0.0,0.9844097995545658,0.977728285077951,0.779510022271715,0.13808463251670378,0.9821826280623608,0.9020044543429844,0.35634743875278396
backprop+L1 0.001,6,0.9643652561247216,0.9623608017817373,0.9198218262806236,0.8187082405345212,0.966815144766147,0.9547884187082406,0.8821826280623608,0.0,0.0,0.9665924276169265,0.9688195991091314,0.8285077951002228,0.1915367483296214,0.9643652561247216,0.9465478841870824,0.7483296213808464
backprop+L1 0.003,6,0.9599109131403119,0.957238307349666,0.9008908685968819,0.8095768374164811,0.9587973273942095,0.9347438752783965,0.7739420935412026,0.011135857461024499,0.0,0.9665924276169265,0.9487750556792873,0.7483296213808464,0.09131403118040089,0.9599109131403119,0.9576837416481069,0.8262806236080178
weight-noise const,6,0.9888641425389755,0.9654788418708241,0.8699331848552339,0.7253897550111359,0.9828507795100224,0.9721603563474389,0.9443207126948776,0.0,0.0,0.9844097995545658,0.9732739420935412,0.9153674832962138,0.08240534521158129,0.9621380846325167,0.6102449888641426,0.1714922048997773
interval const,6,0.9420935412026726,0.902227171492205,0.7714922048997772,0.6244988864142538,0.943207126948775,0.9447661469933186,0.9329621380846325,0.9064587973273942,0.8374164810690423,0.9376391982182628,0.933184855233853,0.8106904231625836,0.3028953229398664,0.9398663697104677,0.8151447661469933,0.6659242761692651
backprop,7,0.9755011135857461,0.9552338530066816,0.8826280623608019,0.7688195991091314,0.9721603563474389,0.956792873051225,0.922271714922049,0.0,0.0,0.9732739420935412,0.9599109131403119,0.7594654788418709,0.10244988864142539,0.9198218262806236,0.4209354120267261,0.23385300668151449
backprop+L1 0.0001,7,0.9732739420935412,0.9605790645879735,0.9115812917594655,0.820935412026726,0.971269487750557,0.9554565701559021,0.9097995545657016,0.0,0.0,0.9710467706013363,0.9755011135857461,0.9064587973273942,0.1291759465478842,0.9665924276169265,0.5723830734966593,0.37639198218262804
backprop+L1 0.0003,7,0.9755011135857461,0.9625835189309578,0.9115812917594655,0.8276169265033408,0.9752783964365257,0.9628062360801783,0.9265033407572384,0.0,0.0,0.977728285077951,0.9599109131403119,0.8374164810690423,0.14253897550111358,0.9710467706013363,0.9198218262806236,0.5189309576837416
backprop+L1 0.001,7,0.9665924276169265,0.9521158129175948,0.9053452115812919,0.810913140311804,0.9634743875278398,0.9345211581291759,0.8717149220489977,0.0,0.0,0.9643652561247216,0.9465478841870824,0.7438752783964365,0.16926503340757237,0.9665924276169265,0.9309576837416481,0.7104677060133631
backprop+L1 0.003,7,0.9621380846325167,0.9414253897550109,0.8924276169265033,0.7986636971046771,0.9536748329621382,0.8902004454342984,0.7093541202672606,0.0,0.0,0.9621380846325167,0.9287305122494433,0.5189309576837416,0.19376391982182628,0.9621380846325167,0.955456570155902,0.7461024498886414
weight-noise const,7,0.9755011135857461,0.9572383073496662,0.889086859688196,0.7710467706013364,0.9746102449888643,0.9641425389755012,0.9383073496659243,0.0,0.0,0.977728285077951,0.9688195991091314,0.8841870824053452,0.16703786191536749,0.955456570155902,0.4298440979955457,0.24721603563474387
interval const,7,0.933184855233853,0.9071269487750557,0.789977728285078,0.6322939866369709,0.9376391982182627,0.9376391982182627,0.9311804008908684,0.9131403118040089,0.8530066815144766,0.9398663697104677,0.9487750556792873,0.9042316258351893,0.38084632516703787,0.9376391982182628,0.8574610244988864,0.7216035634743875
backprop,8,0.9755011135857461,0.9623608017817373,0.8993318485523385,0.779510022271715,0.9741648106904233,0.9616926503340759,0.922271714922049,0.0,0.0,0.9755011135857461,0.9710467706013363,0.9242761692650334,0.2806236080178174,0.9309576837416481,0.36525612472160357,0.23608017817371937
backprop+L1 0.0001,8,0.9844097995545658,0.9706013363028954,0.9269487750556792,0.8494432071269488,0.9804008908685968,0.9648106904231627,0.9144766146993317,0.0,0.0,0.9866369710467706,0.9688195991091314,0.8262806236080178,0.1403118040089087,0.9799554565701559,0.6013363028953229,0.3741648106904232
backprop+L1 0.0003,8,0.9799554565701559,0.9639198218262808,0.9231625835189309,0.8483296213808463,0.9748329621380847,0.9614699331848554,0.9146993318485525,0.0,0.0,0.9755011135857461,0.9688195991091314,0.8819599109131403,0.16481069042316257,0.9732739420935412,0.7639198218262806,0.43207126948775054
