config,seed,clean,noise0.1,noise0.2,noise0.3,wnoise0.1,wnoise0.3,wnoise0.5,cert0.05,cert0.1,q6,q4,q3,q2,p0.5,p0.8,p0.9
interval inc,2,0.9732739420935412,0.9579064587973274,0.876837416481069,0.753674832962138,0.9726057906458798,0.9694877505567929,0.9616926503340757,0.9376391982182628,0.8552338530066815,0.9710467706013363,0.9621380846325167,0.9465478841870824,0.29175946547884185,0.9643652561247216,0.9064587973273942,0.6703786191536748
interval dec,2,0.910913140311804,0.8679287305122495,0.7236080178173719,0.5908685968819599,0.9102449888641425,0.910913140311804,0.9015590200445434,0.8864142538975501,0.8240534521158129,0.9131403118040089,0.8975501113585747,0.8864142538975501,0.16703786191536749,0.9131403118040089,0.8997772828507795,0.8975501113585747
weight-noise const,2,0.9710467706013363,0.9579064587973274,0.8850779510022271,0.7672605790645879,0.9719376391982184,0.9661469933184856,0.9398663697104676,0.0,0.0,0.9755011135857461,0.9599109131403119,0.8574610244988864,0.17817371937639198,0.9621380846325167,0.32516703786191536,0.1492204899777283
weight-noise inc,2,0.9755011135857461,0.9561247216035635,0.8886414253897549,0.7743875278396437,0.9721603563474389,0.9643652561247217,0.9338530066815144,0.0,0.0,0.9710467706013363,0.9621380846325167,0.8997772828507795,0.08240534521158129,0.9688195991091314,0.5434298440979956,0.1870824053452116
interval+box const,2,0.7728285077951003,0.7755011135857461,0.7425389755011136,0.6728285077951002,0.7815144766146994,0.811804008908686,0.7826280623608018,0.7282850779510023,0.6302895322939867,0.779510022271715,0.7884187082405345,0.8240534521158129,0.15812917594654788,0.7861915367483296,0.7750556792873051,0.7861915367483296
interval+box inc,2,0.933184855233853,0.9325167037861914,0.8866369710467705,0.8062360801781738,0.9347438752783963,0.9325167037861914,0.9211581291759465,0.9153674832962138,0.8195991091314031,0.933184855233853,0.9309576837416481,0.9086859688195991,0.1870824053452116,0.933184855233853,0.9131403118040089,0.8285077951002228
interval+box dec,2,0.7884187082405345,0.7706013363028954,0.7209354120267261,0.6559020044543431,0.779510022271715,0.7879732739420936,0.7619153674832962,0.734966592427617,0.6636971046770601,0.7839643652561247,0.7639198218262806,0.6659242761692651,0.311804008908686,0.7861915367483296,0.7216035634743875,0.6726057906458798
backprop,3,0.9710467706013363,0.9476614699331847,0.8795100222717149,0.7534521158129176,0.969487750556793,0.9552338530066816,0.8984409799554566,0.0,0.0,0.9710467706013363,0.9599109131403119,0.5701559020044543,0.0935412026726058,0.8418708240534521,0.46325167037861914,0.1091314031180401
backprop+noise,3,0.9732739420935412,0.9750556792873052,0.9532293986636973,0.890423162583519,0.9759465478841871,0.9739420935412028,0.9483296213808463,0.0,0.0,0.9755011135857461,0.9755011135857461,0.9242761692650334,0.18262806236080179,0.9688195991091314,0.5946547884187082,0.24944320712694878
interval const,3,0.8552338530066815,0.8403118040089087,0.7405345211581291,0.6064587973273943,0.8559020044543428,0.8570155902004455,0.8561247216035636,0.8374164810690423,0.7884187082405345,0.8596881959910914,0.8418708240534521,0.8040089086859689,0.33184855233853006,0.8574610244988864,0.8285077951002228,0.7060133630289532
interval inc,3,0.9732739420935412,0.9556792873051225,0.8714922048997774,0.7280623608017818,0.9732739420935413,0.970378619153675,0.9688195991091314,0.9398663697104677,0.7861915367483296,0.9755011135857461,0.9665924276169265,0.9242761692650334,0.1291759465478842,0.9688195991091314,0.8396436525612472,0.46547884187082406
interval dec,3,0.89086859688196,0.8369710467706014,0.7020044543429844,0.5652561247216035,0.8879732739420936,0.8859688195991092,0.8817371937639198,0.8552338530066815,0.8129175946547884,0.8775055679287305,0.8797327394209354,0.8374164810690423,0.289532293986637,0.8775055679287305,0.8685968819599109,0.8351893095768375
weight-noise const,3,0.9443207126948775,0.9175946547884186,0.8394209354120268,0.7249443207126949,0.942316258351893,0.9253897550111357,0.8962138084632516,0.0,0.0,0.9487750556792873,0.9020044543429844,0.8619153674832962,0.0935412026726058,0.8507795100222717,0.5211581291759465,0.19599109131403117
weight-noise inc,3,0.9732739420935412,0.9512249443207125,0.8850779510022273,0.7505567928730513,0.9719376391982184,0.966815144766147,0.9342984409799555,0.0,0.0,0.9732739420935412,0.9665924276169265,0.8997772828507795,0.08685968819599109,0.933184855233853,0.5434298440979956,0.10690423162583519
interval+box const,3,0.799554565701559,0.7913140311804009,0.7527839643652561,0.6708240534521158,0.7979955456570156,0.7973273942093542,0.7881959910913141,0.7728285077951003,0.7238307349665924,0.7951002227171492,0.8040089086859689,0.7861915367483296,0.1870824053452116,0.7973273942093542,0.7951002227171492,0.77728285077951
interval+box inc,3,0.8530066815144766,0.8461024498886415,0.8162583518930958,0.7496659242761693,0.8525612472160355,0.8478841870824054,0.8427616926503341,0.8262806236080178,0.7661469933184856,0.8485523385300668,0.8530066815144766,0.7817371937639198,0.32293986636971045,0.8530066815144766,0.8530066815144766,0.8129175946547884
interval+box dec,3,0.6325167037861915,0.6278396436525611,0.5966592427616926,0.5376391982182629,0.6338530066815146,0.6345211581291761,0.619599109131403,0.6035634743875279,0.532293986636971,0.6302895322939867,0.6169265033407573,0.5657015590200446,0.32293986636971045,0.6325167037861915,0.6057906458797327,0.6057906458797327
backprop,4,0.9821826280623608,0.9590200445434298,0.8971046770601336,0.764142538975501,0.9799554565701559,0.9679287305122495,0.9307349665924276,0.0,0.0,0.9799554565701559,0.9665924276169265,0.8663697104677061,0.15367483296213807,0.9465478841870824,0.47216035634743875,0.2650334075723831
backprop+noise,4,0.9821826280623608,0.9748329621380847,0.9512249443207128,0.9048997772828509,0.9804008908685968,0.9708240534521158,0.9485523385300667,0.0,0.0,0.9821826280623608,0.9821826280623608,0.8775055679287305,0.155902004454343,0.9665924276169265,0.512249443207127,0.20044543429844097
interval const,4,0.9376391982182628,0.8959910913140312,0.7614699331848552,0.6040089086859688,0.9383073496659241,0.9311804008908686,0.9273942093541201,0.9198218262806236,0.8663697104677061,0.9398663697104677,0.9265033407572383,0.8953229398663697,0.18262806236080179,0.9354120267260579,0.9287305122494433,0.7438752783964365
